ID,var_rpta_alt
257335#444821#635511,0
59584#350400#730364,0
397604#973821#106521,0
368086#382995#696856,0
255009#434238#645924,0
417751#109691#978105,1
15170#695103#385239,0
64083#1033680#46662,0
522913#59984#1044995,1
46441#633313#447029,0
552#559118#521224,0
302051#315690#767452,1
118179#314102#769034,0
523516#404708#675216,0
113208#181011#907122,1
276581#207846#874865,1
580908#867522#212820,0
383095#52705#1052247,0
76615#1047728#32614,0
138091#115168#972652,0
357721#73523#1031527,0
442359#1056644#23698,0
500313#1050223#30119,1
402096#43169#1061649,0
507348#350702#730065,0
204337#300670#782445,1
436763#346219#734486,1
465398#824439#255903,1
242084#623070#457272,0
267078#663701#416641,0
200340#725868#354474,0
600026#796685#283657,0
439822#145524#942570,1
608644#280869#802173,1
458223#711065#369277,0
492870#106066#981715,1
385325#66845#1038184,1
283801#483018#597324,0
39603#35099#1069954,1
35925#278860#804180,1
536107#889478#190864,0
356231#190000#898235,0
314131#751663#328679,0
32776#599515#480827,0
296565#487009#593333,0
420032#784025#296317,0
348284#542773#537569,0
514260#342341#738326,0
373936#834274#246068,0
158015#815577#264765,0
107393#729831#350511,0
395121#718382#361960,0
559180#418892#661101,1
311073#1041116#39226,0
106125#404910#675013,1
64548#241610#841409,1
40213#836170#244172,0
332192#909736#170606,1
622359#728230#352112,1
77961#237821#845157,0
590929#109550#978245,1
349843#282225#800828,1
513716#50850#1054052,0
46597#462853#617489,0
302245#848604#231738,0
507759#368273#711587,1
494605#98713#989059,1
541991#910909#169433,0
82315#796739#283603,0
305431#830902#249440,0
191287#180650#907480,1
325540#359775#720088,0
104164#870960#209382,1
419790#703117#377225,1
385203#322645#760493,1
265204#512277#568065,1
615809#246955#836042,1
492907#833827#246515,1
519426#476099#604243,0
343078#713036#367306,0
579554#254116#828878,1
361606#620091#460251,0
27372#1071120#9222,0
387473#591553#488789,0
37054#250623#832376,0
435457#71766#1033297,0
411421#358837#721020,1
331918#253524#829476,0
458587#154497#933618,1
200516#1030154#50188,1
424997#233080#849749,0
285438#489840#590502,0
93856#179627#908493,1
313683#1066197#14145,0
305062#707119#373223,1
359813#401620#678296,1
41776#118031#969796,1
549240#754384#325958,1
535662#874906#205436,0
222849#952636#127706,0
444462#266806#816202,1
565253#646348#433994,0
128500#709481#370861,1
143808#827882#252460,1
178747#840420#239922,0
397405#791419#288923,0
122191#433493#646635,1
334946#999342#81000,1
466507#983180#97162,0
433096#704351#375991,1
249344#834226#246116,0
586814#756878#323464,0
171889#49153#1055675,0
407152#754948#325394,0
174421#950334#130008,0
435971#408186#671733,1
79401#329544#751154,1
62326#575666#504676,0
191580#608392#471950,0
150465#751828#328514,0
13297#802033#278309,0
440173#760775#319567,1
442984#720980#359362,0
552594#639992#440350,0
576414#385052#694806,1
560396#1003964#76378,1
544823#866439#213903,0
9194#1025670#54672,0
290724#807660#272682,0
530843#263372#819616,1
107783#692087#388255,0
70803#436848#643431,0
211885#802005#278337,1
446279#759798#320544,1
264024#611941#468401,1
193260#980584#99758,1
65778#256218#826766,0
235978#198338#889925,0
590023#172635#915491,1
626504#683556#396786,0
629920#228389#854435,0
197602#1042672#37670,0
412049#142919#945176,1
301748#513514#566828,0
478513#884913#195429,1
193245#606920#473422,1
193290#1006753#73589,1
245382#479944#600398,1
160609#1071834#8508,0
53528#439720#640586,0
202496#564525#515817,0
171737#114820#973000,1
142764#650690#429652,0
72606#984659#95683,0
411185#162516#925596,1
341009#881844#198498,0
167842#955562#124780,0
243067#574984#505358,0
626457#770963#309379,0
258756#854117#226225,0
484081#59049#1045925,0
308602#718574#361768,0
558028#992380#87962,1
596135#186078#902072,0
508953#757667#322675,1
615703#1033661#46681,0
604085#210296#872443,0
344411#1033713#46629,0
233656#390359#689528,1
421342#466889#613453,0
529462#841937#238405,0
571571#266868#816140,0
191688#781190#299152,0
437311#406043#673881,1
378556#704312#376030,1
538767#202918#882314,0
26822#99896#987887,0
196205#431725#648333,0
302739#817615#262727,1
160709#93679#994096,0
525744#663427#416915,0
279050#364593#715259,1
64905#836405#243937,0
86505#1003940#76402,0
226926#815070#265272,1
4952#715767#364575,0
222497#564466#515876,1
239792#803265#277077,0
258485#1009389#70953,1
528548#843013#237329,0
565161#695437#384905,0
193725#201432#886838,1
556430#74452#1030597,0
117243#747538#332804,0
589146#541231#539111,0
519745#327951#755191,0
272453#136203#951892,0
131611#188772#899416,0
451059#285315#797742,1
22425#131153#956697,1
468066#724720#355622,1
442485#39868#1065223,0
327062#576575#503767,0
335753#447444#632903,0
617523#49293#1055539,1
511266#57511#1047451,0
190167#793871#286471,0
237974#1010767#69575,0
320145#632549#447793,1
489136#1012190#68152,0
3563#237773#845204,0
267658#588294#492048,0
192375#110429#977369,1
523253#353498#726371,1
69057#495504#584838,0
349551#194630#893625,1
600739#333740#746839,1
409228#448641#631716,1
279847#428343#651655,1
162869#316027#767113,1
346121#423681#656302,0
509751#47282#1057541,1
617319#153934#934181,1
560664#652870#427472,1
412532#543787#536555,0
369382#50381#1054486,1
259705#280129#802915,1
371843#126536#961298,0
170522#113848#973966,0
511467#390785#689119,1
267000#767829#312513,0
110199#557243#523099,1
297272#842373#237969,0
325667#327670#755462,1
68545#621556#458786,1
262075#521009#559333,1
514472#896802#183540,0
414665#94755#993019,0
302441#1041849#38493,0
31053#674800#405542,0
132132#498346#581996,0
388231#591252#489090,0
148890#330654#750055,1
404877#867315#213027,0
25860#407677#672239,1
417352#882669#197673,0
88593#902546#177796,1
179448#872771#207571,1
116951#290382#792674,1
296565#486890#593452,0
586016#485202#595140,0
278078#765712#314630,1
202842#230807#852028,1
458472#880170#200172,1
97672#571299#509043,1
491573#723869#356473,0
109406#223936#858865,1
468707#1036336#44006,1
389813#177271#910839,1
571070#978736#101606,1
600231#319895#763255,1
285438#489857#590485,0
180038#259912#823069,0
396044#217129#865640,0
481918#268829#814184,0
418234#807545#272797,1
51629#1030560#49782,0
115401#238550#844446,0
358294#727484#352858,0
269166#1049501#30841,0
276159#401729#678188,1
542980#42169#1062934,1
53515#158028#930076,1
634586#678806#401536,1
347481#54414#1050534,0
618710#492844#587498,0
260902#604797#475545,1
510838#587867#492475,1
252859#518215#562127,1
116667#482395#597947,1
294765#434843#645349,1
573222#889070#191272,1
623826#267578#815436,0
424866#1053820#26522,0
113541#1062455#17887,1
330612#645508#434834,1
362351#182018#906117,1
269078#472727#607615,1
599381#222941#859858,0
383380#274255#808766,1
199792#860442#219900,0
60233#498443#581899,0
503202#545720#534622,1
259074#475302#605040,0
110295#855296#225046,1
343769#490816#589526,0
510332#890560#189782,0
233229#1029133#51209,0
78469#177776#910341,1
551307#324329#758798,1
533098#885970#194372,1
162118#289400#793661,0
90635#995250#85092,1
31455#821056#259286,1
467139#853719#226623,1
468489#419665#660329,0
518189#224035#858766,1
476798#108883#978914,1
414310#157149#930950,1
576331#929288#151054,0
458443#1016996#63346,1
619095#1077145#3197,1
272432#40961#1064143,0
401867#328010#755135,0
10371#440168#640141,1
352879#735661#344681,1
79008#104895#982878,1
331087#673928#406414,1
617462#1022999#57343,1
592396#760130#320212,0
57691#193328#894919,1
342128#354729#725138,0
485812#117985#969843,0
575711#659934#420408,0
361640#833271#247071,1
217584#1063352#16990,0
157612#559657#520685,1
546857#51575#1053366,1
437030#817729#262613,1
19089#243672#839328,0
422817#686399#393943,0
300399#1054833#25509,1
550002#775737#304605,0
165004#210666#872079,0
439822#437975#642319,1
204815#1072676#7666,0
91526#790821#289521,0
605171#676220#404122,1
15285#738742#341600,1
261592#619954#460388,0
544288#492171#588171,0
195315#583124#497218,1
295412#455572#624763,1
242515#247508#835497,0
88064#303718#779388,0
457599#494453#585889,0
474841#374275#705577,0
415146#757010#323332,0
517564#340980#739663,0
123367#833822#246520,0
408622#163871#924246,1
48177#1022559#57783,0
81489#529174#551168,0
13766#359999#719864,1
157803#1037640#42702,1
151037#799684#280658,0
374016#1061112#19230,0
511098#991561#88781,0
253953#609916#470426,1
452953#799178#281164,0
550809#888225#192117,0
242351#439259#641046,1
211024#302712#780400,0
269037#512897#567445,0
147616#142951#945146,0
105881#691848#388494,1
245732#980784#99558,0
6478#138844#949254,0
514200#494744#585598,1
351734#611298#469044,0
13113#37600#1067462,1
414596#113441#974372,1
94849#213819#868941,1
189418#707207#373135,0
286192#236248#846674,0
96619#143338#944767,1
118617#640670#439672,0
252941#114200#973619,1
205597#433580#646554,1
50564#1021139#59203,0
312853#983741#96601,0
7184#1025055#55287,0
407241#274576#808445,1
384094#97559#990206,1
104081#237972#845007,1
556423#316927#766217,1
310089#608190#472152,0
395948#742019#338323,1
160863#244165#838835,1
180981#706887#373455,1
309117#1006704#73638,0
406558#808358#271984,0
185339#319342#763804,1
161406#294510#788582,1
330782#572165#508177,0
408085#403259#676660,1
216761#795836#284506,0
684#196279#891979,1
375985#349801#730957,0
43653#794575#285767,1
342144#294072#789014,1
297018#689626#390716,1
474968#182922#905212,1
73731#564805#515537,0
320620#869495#210847,0
179417#524487#555855,1
331130#231433#851404,1
392610#807409#272933,0
173756#1080273#69,0
486214#290766#792289,1
413628#253191#829811,0
260639#101179#986596,1
86226#538123#542219,0
414271#380952#698906,0
109705#1023069#57273,0
558167#665747#414595,0
22965#995001#85341,1
326466#313738#769400,1
255679#619494#460848,0
317953#363751#716099,0
588997#736661#343681,1
494018#634046#446296,1
283935#841846#238496,0
299809#348685#732062,1
166379#754925#325417,0
107137#834646#245696,0
480348#326137#756999,1
528424#657123#423219,0
278006#276715#806313,1
147142#206072#879204,1
62176#667514#412828,1
158414#843646#236696,1
631123#661653#418689,1
319482#187286#900868,1
615346#392209#687692,1
421579#198183#890080,0
55361#815452#264890,0
